2026-03-31 14:30:22.467782: 1;HEAL;{'heal': 12}
2026-03-31 14:42:29.286096; 1;HEAL;{'heal': 14}
2026-03-31 14:42:29.286395; 1;ATTACK;{'damage': 20, 'player_id': 2}
2026-03-31 14:42:29.286403; 1;ATTACK;{'damage': 18, 'player_id': 1}
2026-03-31 14:42:29.286406; 1;HEAL;{'heal': 39}
2026-03-31 14:42:29.286408; 1;ATTACK;{'damage': 24, 'player_id': 1}
2026-03-31 14:42:29.286411; 1;ATTACK;{'damage': 11, 'player_id': 2}
2026-03-31 14:42:29.286413; 1;LOOT;{'item': Item(id=3,name='Bow',power=33)}
2026-03-31 14:42:29.286415; 1;LOOT;{'item': Item(id=1,name='Sword',power=55)}
2026-03-31 14:42:29.286417; 1;ATTACK;{'damage': 19, 'player_id': 1}
2026-03-31 14:42:29.286419; 1;ATTACK;{'damage': 6, 'player_id': 2}
2026-03-31 14:45:13.006129; 1;LOOT;{'item': Item(id=3,name='Bow',power=36)}
2026-03-31 14:45:13.006140; 1;ATTACK;{'damage': 19, 'player_id': 2}
2026-03-31 14:45:13.006144; 1;HEAL;{'heal': 27}
2026-03-31 14:45:13.006148; 1;ATTACK;{'damage': 15, 'player_id': 2}
2026-03-31 14:45:13.006151; 1;HEAL;{'heal': 39}
2026-03-31 14:45:13.006153; 1;HEAL;{'heal': 10}
2026-03-31 14:45:13.006155; 1;ATTACK;{'damage': 23, 'player_id': 1}
2026-03-31 14:45:13.006157; 1;LOOT;{'item': Item(id=3,name='Bow',power=36)}
2026-03-31 14:45:13.006159; 1;ATTACK;{'damage': 9, 'player_id': 1}
2026-03-31 14:45:13.006161; 1;ATTACK;{'damage': 26, 'player_id': 2}
2026-03-31 14:45:56.705797; 1;LOOT;{'item': Item(id=2,name='Spear',power=44)}
2026-03-31 14:45:56.705807; 1;ATTACK;{'damage': 22, 'player_id': 2}
2026-03-31 14:45:56.705811; 1;LOOT;{'item': Item(id=1,name='Sword',power=60)}
2026-03-31 14:45:56.705813; 1;LOOT;{'item': Item(id=1,name='Sword',power=60)}
2026-03-31 14:45:56.705817; 1;ATTACK;{'damage': 28, 'player_id': 1}
2026-03-31 14:45:56.705819; 1;LOOT;{'item': Item(id=3,name='Bow',power=36)}
2026-03-31 14:45:56.705821; 1;ATTACK;{'damage': 23, 'player_id': 1}
2026-03-31 14:45:56.705823; 1;HEAL;{'heal': 15}
2026-03-31 14:45:56.705825; 1;LOOT;{'item': Item(id=3,name='Bow',power=36)}
2026-03-31 14:45:56.705827; 1;HEAL;{'heal': 25}
